chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	120740000	121360000	1	120740000	121360000	255,255,0	0.58693	0.36923	0.34666	0.46826	0.5692
1	215830000	218400000	1	215830000	218400000	255,255,0	0.47242	0.29666	0.28077	0.44549	0.50951
1	237890000	240160000	1	237890000	240160000	255,255,0	0.77077	0.24654	0.24185	0.51312	0.59486
1	85750000	86800000	1	85750000	86800000	255,255,0	0.92879	0.16666	0.18114	0.55552	0.60668
1	247760000	248570000	1	247760000	248570000	255,255,0	0.99189	0.10759	0.22296	0.66341	0.50438
1	240330000	241660000	1	240330000	241660000	255,255,0	0.85229	0.16153	0.142	0.53822	0.56083
1	169860000	171310000	1	169860000	171310000	255,255,0	1.1876	0.12901	0.14949	0.80308	0.64117
1	76610000	77500000	1	76610000	77500000	255,255,0	0.90931	0.14393	0.1332	0.67727	0.44394
1	163330000	164590000	1	163330000	164590000	255,255,0	1.0357	0.12821	0.14691	0.81406	0.46359
1	60440000	61260000	1	60440000	61260000	255,255,0	1.3951	0.12875	0.11132	0.68866	0.78699
1	176890000	177960000	1	176890000	177960000	255,255,0	0.91562	0.11392	0.12253	0.55765	0.64326
1	242280000	242980000	1	242280000	242980000	255,255,0	0.83895	0.11695	0.11506	0.64816	0.4
1	198740000	199580000	1	198740000	199580000	255,255,0	0.77279	0.10818	0.1046	0.64966	0.45181
1	54310000	55150000	1	54310000	55150000	255,255,0	0.84078	0.080369	0.11959	0.50057	0.55612
1	54300000	55320000	1	54300000	55320000	255,255,0	1.3478	0.089305	0.11005	0.65513	0.82891
1	17940000	19200000	1	17940000	19200000	255,255,0	1.1891	0.10949	0.089486	0.77349	0.53884
1	14400000	15440000	1	14400000	15440000	255,255,0	1.4402	0.12158	0.077189	0.73262	0.83247
1	118790000	119550000	1	118790000	119550000	255,255,0	0.71475	0.12199	0.076613	0.52701	0.50208
1	65300000	66170000	1	65300000	66170000	255,255,0	1.1248	0.095149	0.10289	0.5333	0.7648
1	223880000	224660000	1	223880000	224660000	255,255,0	1.2018	0.12085	0.076118	0.74622	0.67193
1	168390000	169380000	1	168390000	169380000	255,255,0	1.3071	0.094993	0.10161	0.78408	0.75224
1	208830000	209690000	1	208830000	209690000	255,255,0	0.75502	0.10525	0.091086	0.53867	0.55814
1	214850000	215710000	1	214850000	215710000	255,255,0	1.1208	0.083752	0.11235	0.76257	0.649
1	2330000	2540000	1	2330000	2540000	255,255,0	1.3024	0.060515	0.13552	0.79091	0.64545
1	206640000	207110000	1	206640000	207110000	255,255,0	1.1498	0.14302	0.052996	0.83514	0.60326
1	118610000	119570000	1	118610000	119570000	255,255,0	1.173	0.094966	0.10008	0.83898	0.62023
1	144910000	145100000	1	144910000	145100000	255,255,0	0.96415	0.15763	0.036654	0.56667	0.74444
1	78600000	79150000	1	78600000	79150000	255,255,0	1.4295	0.083321	0.11022	0.89021	0.59921
1	205730000	205930000	1	205730000	205930000	255,255,0	1.251	0.025967	0.16671	0.59	0.79
1	13940000	14290000	1	13940000	14290000	255,255,0	0.97197	0.15057	0.041997	0.56209	0.63725
1	180470000	181150000	1	180470000	181150000	255,255,0	1.2388	0.085241	0.10704	0.6664	0.6487
1	115660000	116600000	1	115660000	116600000	255,255,0	0.73948	0.10658	0.083149	0.5043	0.54459
1	2740000	3350000	1	2740000	3350000	255,255,0	1.5285	0.12979	0.059757	0.66559	0.93011
1	3360000	3690000	1	3360000	3690000	255,255,0	1.4789	0.038381	0.15092	0.88603	0.75368
1	120090000	120700000	1	120090000	120700000	255,255,0	1.3601	0.060974	0.12729	0.60323	0.9043
1	50820000	51760000	1	50820000	51760000	255,255,0	1.1833	0.10054	0.086351	0.78656	0.58579
1	76620000	77270000	1	76620000	77270000	255,255,0	0.87282	0.10284	0.083091	0.67803	0.40436
1	52490000	53690000	1	52490000	53690000	255,255,0	0.99296	0.094948	0.090459	0.57222	0.67806
1	181160000	182030000	1	181160000	182030000	255,255,0	1.172	0.096843	0.087898	0.58615	0.71089
1	159180000	159750000	1	159180000	159750000	255,255,0	1.3462	0.089326	0.094257	0.8045	0.77821
