chr	x1	x2
1	915000	1005000
1	1030000	1235000
1	1255000	1450000
1	1710000	1840000
1	1860000	2055000
1	1865000	1985000
1	2120000	2320000
1	2345000	2475000
1	2520000	2585000
1	2710000	3340000
1	3395000	3540000
1	3540000	3660000
1	3995000	5510000
1	5535000	5940000
1	6085000	6545000
1	6110000	6260000
1	6295000	6505000
1	6305000	6405000
1	6405000	6480000
1	6545000	6740000
1	6765000	6965000
1	7295000	7710000
1	7715000	8010000
1	7715000	7825000
1	7830000	8015000
1	8030000	8410000
1	8450000	8595000
1	8455000	8925000
1	8790000	8920000
1	8940000	9645000
1	8940000	9295000
1	8950000	9065000
1	9065000	9165000
1	9170000	9295000
1	9330000	9550000
1	9555000	9650000
1	9650000	10535000
1	9650000	9935000
1	9675000	9780000
1	9820000	9930000
1	9935000	10005000
1	10005000	10095000
1	10230000	10425000
1	10490000	10555000
1	10555000	11020000
1	10565000	10725000
1	10750000	11005000
1	11075000	11840000
1	11075000	11330000
1	11090000	11720000
1	11360000	11705000
1	11705000	11800000
1	11875000	11970000
1	12055000	12150000
1	12170000	12290000
1	12325000	12740000
1	13770000	13955000
1	13775000	14310000
1	13985000	14140000
1	14150000	14295000
1	15430000	15835000
1	15450000	15610000
1	15645000	15765000
1	15770000	15845000
1	15850000	16085000
1	15870000	16390000
1	15945000	16075000
1	16115000	16335000
1	16400000	16520000
1	16575000	16690000
1	16695000	16835000
1	17250000	17380000
1	17385000	17450000
1	17455000	17565000
1	17735000	17960000
1	17735000	17815000
1	17820000	17945000
1	17970000	18910000
1	18915000	19165000
1	19205000	19575000
1	19205000	19400000
1	19415000	19575000
1	19665000	19985000
1	19715000	19815000
1	19820000	19920000
1	19985000	20190000
1	20195000	20840000
1	20235000	20520000
1	20420000	20500000
1	20535000	20950000
1	20540000	20830000
1	20835000	20980000
1	21005000	21530000
1	21540000	21930000
1	21555000	21700000
1	21995000	22335000
1	22010000	22110000
1	22110000	22305000
1	22345000	22440000
1	22425000	23290000
1	22430000	22990000
1	22440000	22735000
1	22745000	22980000
1	23000000	23265000
1	23295000	23610000
1	23420000	23515000
1	23520000	23605000
1	23625000	23735000
1	23810000	23995000
1	23870000	23965000
1	24010000	24090000
1	24120000	24210000
1	24380000	24965000
1	24525000	24720000
1	24740000	24965000
1	24970000	25170000
1	24975000	25560000
1	25170000	25255000
1	25175000	25550000
1	25230000	25545000
1	25265000	25365000
1	25725000	25870000
1	25870000	26140000
1	26150000	26350000
1	26365000	26500000
1	26365000	26775000
1	26415000	26495000
1	26575000	26755000
1	26590000	26665000
1	26805000	27230000
1	26810000	26910000
1	26930000	27020000
1	27025000	27115000
1	27120000	27225000
1	27315000	28055000
1	27340000	27430000
1	27430000	27620000
1	27620000	27725000
1	27725000	27995000
1	27735000	27885000
1	27930000	27995000
1	28150000	28570000
1	28170000	28315000
1	28410000	28545000
1	28575000	28975000
1	28575000	28685000
1	28710000	28830000
1	28835000	28970000
1	28975000	29080000
1	29095000	29205000
1	29095000	29550000
1	29210000	29365000
1	29565000	29880000
1	31185000	31265000
1	31185000	31410000
1	31265000	31400000
1	31415000	31535000
1	31550000	31630000
1	31635000	31850000
1	31895000	32015000
1	32020000	32110000
1	32110000	32260000
1	32275000	32480000
1	32570000	32650000
1	32650000	32865000
1	32665000	32800000
1	32905000	33275000
1	32980000	33120000
1	33155000	33250000
1	33370000	33555000
1	33590000	33960000
1	33745000	33950000
1	33760000	33840000
1	33840000	33940000
1	34105000	34530000
1	34920000	35065000
1	35240000	35330000
1	35475000	35640000
1	35645000	35830000
1	35655000	35770000
1	35910000	36025000
1	36035000	36245000
1	36110000	36180000
1	36335000	36550000
1	36555000	36930000
1	36555000	36770000
1	36775000	36915000
1	36960000	37910000
1	37795000	37900000
1	37910000	38165000
1	37920000	38475000
1	38060000	38170000
1	38165000	38260000
1	38340000	38470000
1	38485000	39310000
1	38655000	39215000
1	38930000	39060000
1	39075000	39295000
1	39320000	39545000
1	39335000	39450000
1	39550000	40040000
1	39560000	39740000
1	39570000	39650000
1	39650000	39735000
1	39740000	40025000
1	40040000	40200000
1	40055000	40130000
1	40265000	40510000
1	40280000	40370000
1	40370000	40510000
1	40535000	40900000
1	40545000	40610000
1	40805000	40880000
1	40900000	41000000
1	41005000	41445000
1	41150000	41320000
1	41155000	41230000
1	41235000	41320000
1	41330000	41445000
1	41510000	41710000
1	41590000	41710000
1	41725000	41925000
1	41985000	42525000
1	42025000	42360000
1	42060000	42240000
1	42370000	42505000
1	42645000	42800000
1	42800000	43230000
1	42805000	42925000
1	43235000	43570000
1	43240000	43375000
1	43380000	43545000
1	43660000	44535000
1	43675000	43920000
1	43995000	44110000
1	44115000	44210000
1	44225000	44410000
1	44440000	44525000
1	44545000	45130000
1	44545000	44675000
1	44680000	44815000
1	44825000	45090000
1	45185000	45295000
1	45190000	45480000
1	45285000	45770000
1	45300000	45475000
1	45480000	45765000
1	45775000	46050000
1	45805000	45960000
1	45965000	46050000
1	46055000	46710000
1	46055000	46480000
1	46060000	46145000
1	46075000	46370000
1	46495000	46660000
1	46710000	46835000
1	46845000	47205000
1	46860000	47020000
1	47065000	47190000
1	47225000	47640000
1	47645000	47865000
1	47905000	48190000
1	48455000	48535000
1	48555000	48700000
1	49010000	49345000
1	49180000	49285000
