chr	start	end	region	stat	pvalue	bins	adj_pvalue
1	68985000	70260000	1:68985000-70260000	2.111512291411615	0.0086116808184993	14	0.02895306482081661
1	49365000	50810000	1:49365000-50810000	4.84129435910883	3.460749798911422e-05	16	0.000355182216204067
1	163360000	164895000	1:163360000-164895000	4.600429511250233	6.0227577725835424e-05	16	0.0005592560788827575
1	3995000	5510000	1:3995000-5510000	3.894106390698584	0.0002818196761644	17	0.0019626727447163575
1	176855000	177945000	1:176855000-177945000	1.8214717138609615	0.013979424981683	12	0.041938274945049
10	127640000	129495000	10:127640000-129495000	3.914159897182335	0.0002702378304212	19	0.0019517176641531111
10	86420000	88145000	10:86420000-88145000	7.725698650940357	1.8472693708027066e-08	18	6.003625455108796e-07
10	9365000	11065000	10:9365000-11065000	3.0757476901839995	0.001473261002858	18	0.007980163765480833
10	132020000	133380000	10:132020000-133380000	2.747485962644168	0.0027580350153919	14	0.01222310972730501
11	15310000	16720000	11:15310000-16720000	2.999695703622151	0.001707005737639	15	0.008996381590259594
12	126225000	128250000	12:126225000-128250000	10.506779673819208	3.3458791293128347e-12	21	1.631116075540007e-10
13	92790000	95070000	13:92790000-95070000	18.101141453786838	0.0	24	0.0
13	58190000	59905000	13:58190000-59905000	4.552333072943159	6.716603254208753e-05	19	0.0005805529909126031
13	107825000	108815000	13:107825000-108815000	4.475773948078424	7.980637489746201e-05	11	0.0006484267960418788
13	80190000	81515000	13:80190000-81515000	6.430313684717347	6.606656349772422e-07	15	1.2882979882056222e-05
15	46095000	47430000	15:46095000-47430000	2.338924144906718	0.0057989737388327	15	0.021746151520622623
15	46000000	47455000	15:46000000-47455000	2.338924144906718	0.0057989737388327	15	0.021746151520622623
16	53560000	55470000	16:53560000-55470000	5.562712526274382	6.106850319320678e-06	20	9.160275478981017e-05
16	75810000	77225000	16:75810000-77225000	1.909362983019347	0.0120987396782344	15	0.03705034646923381
17	13115000	15115000	17:13115000-15115000	3.3492797867298347	0.0008572654189329	21	0.005065659293694409
17	10795000	11840000	17:10795000-11840000	3.642575046334744	0.0004720781461331	12	0.00313967143619025
18	68255000	70265000	18:68255000-70265000	1.7389179016887657	0.015979853351812	21	0.04721320308489908
18	75465000	76750000	18:75465000-76750000	2.916699916762613	0.0020024203925409	14	0.009523706745011597
18	7010000	8435000	18:7010000-8435000	1.937389787030757	0.01154898160119	15	0.036918875610361473
18	53025000	54260000	18:53025000-54260000	1.9063074148930548	0.0121601137129793	13	0.03705034646923381
19	31200000	32745000	19:31200000-32745000	3.3631521854318422	0.0008328316644898	16	0.005065659293694409
19	11710000	12790000	19:11710000-12790000	2.0902727792517237	0.0089288307049532	11	0.029510542160438545
20	53295000	54810000	20:53295000-54810000	6.185226234793346	1.2564144789006804e-06	17	2.0416735282136056e-05
20	58590000	60510000	20:58590000-60510000	7.242264580699973	7.265224633012934e-08	21	1.7708985042969028e-06
20	14285000	15235000	20:14285000-15235000	2.950701579368197	0.0018764722674444	11	0.00914780230379145
21	28130000	30155000	21:28130000-30155000	6.451537332875303	6.245689027073453e-07	21	1.2882979882056222e-05
2	163735000	165515000	2:163735000-165515000	4.7142920871009615	4.642589188219581e-05	19	0.0004526524458514092
2	107230000	108805000	2:107230000-108805000	5.209151710094622	1.4486089957244095e-05	17	0.00017942427425849167
2	56370000	57765000	2:56370000-57765000	4.218274894351438	0.0001410426737269	15	0.00110013285506982
2	103440000	105570000	2:103440000-105570000	3.631159535428677	0.0004830263747985	22	0.00313967143619025
2	107240000	108445000	2:107240000-108445000	2.496679824320636	0.0043740569804356	13	0.017058822223698842
2	228755000	230510000	2:228755000-230510000	2.782615882980635	0.0025821079816066	19	0.011854116908897476
2	122690000	124775000	2:122690000-124775000	7.957805848317831	9.437496006903244e-09	22	3.680623442692265e-07
2	18595000	20080000	2:18595000-20080000	5.191883470064813	1.5100326092754024e-05	16	0.00017942427425849167
2	199165000	200450000	2:199165000-200450000	3.322891399528078	0.000903838393494	14	0.005183779021509706
2	122890000	124140000	2:122890000-124140000	2.983715239447594	0.0017614181063544	14	0.00903885607208179
3	108925000	111270000	3:108925000-111270000	6.2604412069182604	1.032718646931663e-06	24	1.8307285104697662e-05
4	18680000	20260000	4:18680000-20260000	2.953859488179155	0.0018650730406873	17	0.00914780230379145
4	42985000	44635000	4:42985000-44635000	3.525111978802632	0.0005993652457627	18	0.003770200739475049
4	22960000	24440000	4:22960000-24440000	2.275976418557709	0.006478717327141	16	0.022969997796227184
4	156875000	157980000	4:156875000-157980000	2.278710713145063	0.0064476118381514	12	0.022969997796227184
4	145075000	146010000	4:145075000-146010000	2.1971395301043115	0.0074316351468555	11	0.025424014976084604
5	2115000	4805000	5:2115000-4805000	11.281558689888444	2.4591439995447217e-13	28	1.598443599704069e-11
5	151900000	153350000	5:151900000-153350000	1.9170223514169955	0.0119466724980044	15	0.03705034646923381
6	18585000	20065000	6:18585000-20065000	4.543791172779089	6.847548097943523e-05	16	0.0005805529909126031
6	8940000	10455000	6:8940000-10455000	2.623877429570894	0.0034684276791243	16	0.014390285051685924
7	152585000	154270000	7:152585000-154270000	2.500933933378568	0.0043406871444872	18	0.017058822223698842
7	152580000	154570000	7:152580000-154570000	5.177204827151658	1.5642116217406965e-05	21	0.00017942427425849167
7	63325000	64365000	7:63325000-64365000	2.004252459652517	0.0103281494159557	11	0.03356648560185602
7	48310000	49960000	7:48310000-49960000	2.632687137132508	0.0034130895380393	17	0.014390285051685924
7	135730000	137285000	7:135730000-137285000	2.77612422963755	0.0026139847542697	16	0.011854116908897476
7	83565000	84655000	7:83565000-84655000	2.635292930352548	0.0033966565731102	12	0.014390285051685924
7	70295000	71990000	7:70295000-71990000	7.635548712936416	2.3919415670370373e-08	18	6.66326579388889e-07
7	3250000	4620000	7:3250000-4620000	3.9244773333297656	0.0002644535936366	15	0.0019517176641531111
7	66840000	68615000	7:66840000-68615000	5.408986891249765	8.918370498878225e-06	19	0.00012422016052008957
8	31070000	33290000	8:31070000-33290000	5.075903715443745	1.992551228358064e-05	23	0.00021585971640545692
8	62645000	64035000	8:62645000-64035000	2.2184612664486134	0.0071621002744132	15	0.02493945631268882
9	120340000	122225000	9:120340000-122225000	2.299101665619276	0.0062207909364001	20	0.022887815709396596
9	118335000	119440000	9:118335000-119440000	3.2971728386341246	0.0009513235074377	12	0.005300230970010043
X	115005000	117460000	X:115005000-117460000	13.753457352715555	0.0	25	0.0
X	20530000	21745000	X:20530000-21745000	2.5985102108496374	0.0036339114466902	13	0.014762765252178936
