Cite	Condition	Detailed comparison information	Regions	 Change type
Yang et al. 2020	Brain vs Muscle	A_GSM4662081_YueLab-HiC-Brain_merged.hic_VS_GSM4662083_YueLab-HiC-Muscle_merged.hic_reso_10000_chr11_33750000_35600000_0.8.txt	Chr11:33750000:35600000	 Loop-level change
	Brain vs Muscle	A_GSM4662081_YueLab-HiC-Brain_merged.hic_VS_GSM4662083_YueLab-HiC-Muscle_merged.hic_reso_50000_chr13_10000000_11800000_0.5.txt	Chr13:10000000:11800000	 Loop-level change
Goodman et al. 2020	wtCombined vs koCombined      	B_GSE138822_wtCombined.hic_VS_GSE138822_koCombined.hic_reso_5000_chr13_28260000_29080000_0.5.txt	Chr13:28260000:29080000	Domain-level change
	wtCombined vs koCombined      	B_GSE138822_wtCombined.hic_VS_GSE138822_koCombined.hic_reso_5000_chr10_117390000_117760000_0.5.txt	Chr10:117390000:117760000	 Loop-level change
	wtCombined vs koCombined      	B_GSE138822_wtCombined.hic_VS_GSE138822_koCombined.hic_reso_5000_chr2_93300000_93455000_0.5.txt	Chr2:93300000:93455000	 Loop-level change
	wtCombined vs koCombined      	B_GSE138822_wtCombined.hic_VS_GSE138822_koCombined.hic_reso_10000_chr4_94880000_96040000_0.5.txt	Chr4:94880000:96040000	 Loop-level change
Huang et al. 2021	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643817_4CBS_rep2.129.hic_VS_GSM4643815_2CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643816_4CBS_rep1.129.hic_VS_GSM4643815_2CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643817_4CBS_rep2.129.hic_VS_GSM4643816_4CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643816_4CBS_rep1.129.hic_VS_GSM4643816_4CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643815_2CBS_rep2.129.hic_VS_GSM4643815_2CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643817_4CBS_rep2.129.hic_VS_GSM4643817_4CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643815_2CBS_rep2.129.hic_VS_GSM4643816_4CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643816_4CBS_rep1.129.hic_VS_GSM4643817_4CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643815_2CBS_rep2.129.hic_VS_GSM4643817_4CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643814_2CBS_rep1.129.hic_VS_GSM4643815_2CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643814_2CBS_rep1.129.hic_VS_GSM4643816_4CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643817_4CBS_rep2.129.hic_VS_GSM4643814_2CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643816_4CBS_rep1.129.hic_VS_GSM4643814_2CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643814_2CBS_rep1.129.hic_VS_GSM4643817_4CBS_rep2.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
	 2CBScombined vs 4CBScombined, repCAST vs rep129          	C_GSM4643815_2CBS_rep2.129.hic_VS_GSM4643814_2CBS_rep1.CAST.hic_reso_10000_chrchr3_34601078_34811078_0.5.txt	Chr3:34601078:34811078	Boundary-level change 
