chr	start	end	region	stat	pvalue	bins	adj_pvalue
1	144835000	145835000	1:144835000-145835000	-0.1086317390635891	0.1886208138185435	11	0.23729715286849024
1	68985000	70260000	1:68985000-70260000	2.111512291411615	0.0086116808184993	14	0.02895306482081661
1	49365000	50810000	1:49365000-50810000	4.84129435910883	3.460749798911422e-05	16	0.000355182216204067
1	163360000	164895000	1:163360000-164895000	4.600429511250233	6.0227577725835424e-05	16	0.0005592560788827575
1	3995000	5510000	1:3995000-5510000	3.894106390698584	0.0002818196761644	17	0.0019626727447163575
1	176855000	177945000	1:176855000-177945000	1.8214717138609615	0.013979424981683	12	0.041938274945049
1	214855000	215735000	1:214855000-215735000	-0.1366342802067628	0.19418286778201	10	0.2396560709967845
1	57285000	58515000	1:57285000-58515000	-0.042345432714854	0.1758939307106261	14	0.22565339795113215
1	213410000	214330000	1:213410000-214330000	0.2704610075690639	0.1240151374641134	10	0.18273799793349418
1	17970000	18910000	1:17970000-18910000	0.1009535570375981	0.1504782660849686	11	0.20377265199006162
1	181150000	182040000	1:181150000-182040000	0.2899944419984809	0.1212077917656366	10	0.18273799793349418
1	43660000	44535000	1:43660000-44535000	-0.6654344416966755	0.3195224148847447	10	0.3560392623001441
1	36960000	37910000	1:36960000-37910000	-1.0602315925184194	0.4346423744344485	11	0.46568825832262334
1	9650000	10535000	1:9650000-10535000	-1.519159781702755	0.5798461639041111	10	0.5919895390644067
1	38485000	39310000	1:38485000-39310000	-0.2419556137056085	0.2160941091738887	10	0.2640368861098165
10	127640000	129495000	10:127640000-129495000	3.914159897182335	0.0002702378304212	19	0.0019517176641531111
10	86420000	88145000	10:86420000-88145000	7.725698650940357	1.8472693708027066e-08	18	6.003625455108796e-07
10	9365000	11065000	10:9365000-11065000	3.0757476901839995	0.001473261002858	18	0.007980163765480833
10	52710000	53995000	10:52710000-53995000	-0.2518067337159793	0.2182235687233619	13	0.2643080490748793
10	132020000	133380000	10:132020000-133380000	2.747485962644168	0.0027580350153919	14	0.01222310972730501
10	114235000	115355000	10:114235000-115355000	0.8646803682124321	0.0585262662560727	12	0.11743182843488592
10	30970000	32110000	10:30970000-32110000	1.4917898109752352	0.0235819634299759	13	0.059720556738250656
11	20650000	22170000	11:20650000-22170000	0.1454183455990308	0.1431652672577933	16	0.19940876510906924
11	55670000	56585000	11:55670000-56585000	0.2737517110442795	0.1235386996855919	10	0.18273799793349418
11	15310000	16720000	11:15310000-16720000	2.999695703622151	0.001707005737639	15	0.008996381590259594
11	41505000	42570000	11:41505000-42570000	0.8813730570027442	0.057213991687224	11	0.11743182843488592
11	115195000	116150000	11:115195000-116150000	0.6897858065629914	0.0738475947388698	11	0.13585170730263785
11	10930000	11815000	11:10930000-11815000	0.2895586179109843	0.1212698895526037	10	0.18273799793349418
11	19060000	19945000	11:19060000-19945000	-0.3029212985270453	0.2294907815427119	10	0.27454418650815227
12	126225000	128250000	12:126225000-128250000	10.506779673819208	3.3458791293128347e-12	21	1.631116075540007e-10
12	18280000	19395000	12:18280000-19395000	0.2578806916100266	0.1258492792039833	12	0.18273799793349418
12	18395000	19385000	12:18395000-19385000	0.1257738828599135	0.1463632926583316	11	0.20042098248905416
12	115075000	116290000	12:115075000-116290000	1.671297488690195	0.0178051632798287	13	0.05105892411127348
12	120740000	121700000	12:120740000-121700000	0.6002160173049053	0.0828831653419461	11	0.1444459075885008
13	92790000	95070000	13:92790000-95070000	18.101141453786838	0.0	24	0.0
13	19255000	20185000	13:19255000-20185000	0.2541136264406158	0.1264021263976948	10	0.18273799793349418
13	58190000	59905000	13:58190000-59905000	4.552333072943159	6.716603254208753e-05	19	0.0005805529909126031
13	65085000	66215000	13:65085000-66215000	-1.6525571014270808	0.6218883701325246	13	0.6283328092012554
13	85445000	86425000	13:85445000-86425000	-1.4469080867175264	0.5568450630955584	11	0.574522684146211
13	85465000	86355000	13:85465000-86355000	-0.7724093307654999	0.3492072994953634	10	0.38471990622370544
13	107825000	108815000	13:107825000-108815000	4.475773948078424	7.980637489746201e-05	11	0.0006484267960418788
13	80190000	81515000	13:80190000-81515000	6.430313684717347	6.606656349772422e-07	15	1.2882979882056222e-05
13	96750000	97625000	13:96750000-97625000	0.1557719348379112	0.1415006776807331	10	0.19850814494779104
13	34740000	35740000	13:34740000-35740000	1.300941631667049	0.0314769050358806	11	0.07577773434563848
13	109590000	110805000	13:109590000-110805000	1.6280764963527663	0.0190669683506413	14	0.05311512611964363
14	62630000	63755000	14:62630000-63755000	1.5813882818477252	0.0205193023805916	12	0.05557311061410224
14	68285000	69320000	14:68285000-69320000	0.1933825192152886	0.1355756384895931	12	0.19297262412752303
14	89490000	90395000	14:89490000-90395000	0.0103646163376039	0.1662143852933045	10	0.2175288935046603
15	46095000	47430000	15:46095000-47430000	2.338924144906718	0.0057989737388327	15	0.021746151520622623
15	46000000	47455000	15:46000000-47455000	2.338924144906718	0.0057989737388327	15	0.021746151520622623
15	27125000	28050000	15:27125000-28050000	-0.4159125313763238	0.2556838194421907	10	0.30217178661349814
15	27120000	28315000	15:27120000-28315000	-0.0344331536747412	0.1744161938432418	13	0.22565339795113215
15	53070000	54045000	15:53070000-54045000	-1.304803782664247	0.5115087375995231	11	0.5333914643417487
15	93610000	94670000	15:93610000-94670000	0.4918916152792357	0.0949778588843427	11	0.1582964314739045
15	49510000	50445000	15:49510000-50445000	0.6138647800885745	0.0814507153823901	10	0.1444459075885008
15	69755000	70840000	15:69755000-70840000	-0.6490894204976685	0.3151026144648875	12	0.3533599702469174
16	53560000	55470000	16:53560000-55470000	5.562712526274382	6.106850319320678e-06	20	9.160275478981017e-05
16	75810000	77225000	16:75810000-77225000	1.909362983019347	0.0120987396782344	15	0.03705034646923381
16	25780000	26820000	16:25780000-26820000	-0.2672990346511207	0.2215999183958457	12	0.266740642513518
16	50945000	51860000	16:50945000-51860000	0.599072178860986	0.0830041241868119	10	0.1444459075885008
16	79665000	80530000	16:79665000-80530000	0.4621479454028279	0.0985331148016652	10	0.16146367606618725
16	68405000	69345000	16:68405000-69345000	-1.4908391387100612	0.570842067718114	10	0.5858642273949064
16	12980000	13955000	16:12980000-13955000	-0.1297826757615508	0.1928116190489155	11	0.23947939945565938
17	13115000	15115000	17:13115000-15115000	3.3492797867298347	0.0008572654189329	21	0.005065659293694409
17	10795000	11840000	17:10795000-11840000	3.642575046334744	0.0004720781461331	12	0.00313967143619025
17	73855000	74720000	17:73855000-74720000	0.0194713971343844	0.1645814602764825	10	0.2168471942832033
17	63225000	64170000	17:63225000-64170000	-0.1243824873843738	0.191735994749911	10	0.23947939945565938
17	5485000	6340000	17:5485000-6340000	0.4238228137403333	0.1032680533461222	10	0.16642372233465974
18	68255000	70265000	18:68255000-70265000	1.7389179016887657	0.015979853351812	21	0.04721320308489908
18	70350000	71595000	18:70350000-71595000	1.220230080896222	0.0354540754011757	13	0.08039005468871234
18	75465000	76750000	18:75465000-76750000	2.916699916762613	0.0020024203925409	14	0.009523706745011597
18	7010000	8435000	18:7010000-8435000	1.937389787030757	0.01154898160119	15	0.036918875610361473
18	53025000	54260000	18:53025000-54260000	1.9063074148930548	0.0121601137129793	13	0.03705034646923381
18	75770000	76745000	18:75770000-76745000	-0.6240711727818272	0.3083985667723503	11	0.35302171827982504
18	54395000	55230000	18:54395000-55230000	0.3418546591847031	0.1139918085696176	10	0.17641589421488438
18	4070000	5065000	18:4070000-5065000	1.5257721038222325	0.0223762256329272	11	0.05741268418974742
19	43080000	43930000	19:43080000-43930000	0.0778148618153507	0.154390532567243	10	0.20620653322337248
