chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	144835000	145835000	1	144835000	145835000	255,255,0	0.5517	0.35009	0.2686	0.4308	0.5391
1	68985000	70260000	1	68985000	70260000	255,255,0	0.34374	0.27084	0.29571	0.40022	0.50935
1	49365000	50810000	1	49365000	50810000	255,255,0	1.0567	0.24008	0.24148	0.49497	0.68434
1	163360000	164895000	1	163360000	164895000	255,255,0	1.157	0.21904	0.24336	0.71738	0.60165
1	247800000	248395000	1	247800000	248395000	255,255,0	0.33524	0.18309	0.27343	0.40819	0.40678
1	196075000	196660000	1	196075000	196660000	255,255,0	0.58233	0.18231	0.23668	0.42402	0.51666
1	3995000	5510000	1	3995000	5510000	255,255,0	1.0109	0.21231	0.17448	0.5999	0.66212
1	79935000	80560000	1	79935000	80560000	255,255,0	0.79723	0.17663	0.19267	0.4424	0.40041
1	176855000	177945000	1	176855000	177945000	255,255,0	0.71081	0.18607	0.18148	0.42017	0.61687
1	60435000	61285000	1	60435000	61285000	255,255,0	0.80311	0.18147	0.16872	0.76	0.43903
1	47225000	47640000	1	47225000	47640000	255,255,0	0.89325	0.17812	0.17171	0.58188	0.66667
1	214855000	215735000	1	214855000	215735000	255,255,0	0.94571	0.14728	0.19941	0.64179	0.54145
1	60555000	61240000	1	60555000	61240000	255,255,0	0.61223	0.18739	0.14797	0.52387	0.48615
1	57285000	58515000	1	57285000	58515000	255,255,0	0.79536	0.13256	0.17992	0.72232	0.43387
1	185715000	186225000	1	185715000	186225000	255,255,0	1.0825	0.13685	0.14411	0.62053	0.74933
1	2710000	3340000	1	2710000	3340000	255,255,0	1.3575	0.16517	0.088841	0.6901	0.85563
1	177195000	177925000	1	177195000	177925000	255,255,0	0.79641	0.11557	0.12977	0.40477	0.67161
1	159205000	159730000	1	159205000	159730000	255,255,0	0.81027	0.14695	0.094114	0.67453	0.42562
1	213410000	214330000	1	213410000	214330000	255,255,0	1.0516	0.13197	0.10603	0.80848	0.63619
1	29565000	29880000	1	29565000	29880000	255,255,0	1.5996	0.040442	0.19387	0.89214	0.73693
1	217975000	218365000	1	217975000	218365000	255,255,0	0.77514	0.12332	0.10927	0.42604	0.58974
1	197490000	197900000	1	197490000	197900000	255,255,0	1.1676	0.12705	0.10411	0.73409	0.68828
1	79960000	80405000	1	79960000	80405000	255,255,0	0.99358	0.11059	0.11404	0.50505	0.44293
1	174225000	174710000	1	174225000	174710000	255,255,0	1.319	0.1121	0.10395	0.76658	0.82015
1	75690000	76120000	1	75690000	76120000	255,255,0	0.88572	0.099292	0.11674	0.71336	0.49108
1	75225000	75670000	1	75225000	75670000	255,255,0	1.0658	0.10158	0.1122	0.72374	0.62879
1	99605000	100175000	1	99605000	100175000	255,255,0	0.93146	0.10275	0.10357	0.49892	0.81133
1	17970000	18910000	1	17970000	18910000	255,255,0	0.98798	0.097303	0.10266	0.7053	0.59201
1	112345000	112830000	1	112345000	112830000	255,255,0	1.1685	0.10787	0.091793	0.78827	0.65051
1	38655000	39215000	1	38655000	39215000	255,255,0	0.77462	0.092265	0.10727	0.50893	0.51212
1	87770000	88440000	1	87770000	88440000	255,255,0	1.0931	0.10668	0.09281	0.65248	0.62998
1	79315000	79710000	1	79315000	79710000	255,255,0	1.2281	0.10066	0.09873	0.56346	0.56346
1	228390000	228655000	1	228390000	228655000	255,255,0	0.92609	0.047472	0.15181	0.57509	0.59346
1	168575000	169335000	1	168575000	169335000	255,255,0	1.4695	0.10232	0.096751	0.76333	0.81096
1	151390000	151990000	1	151390000	151990000	255,255,0	0.89061	0.077861	0.12102	0.63028	0.60361
1	152165000	152430000	1	152165000	152430000	255,255,0	0.78364	0.10864	0.090183	0.50427	0.72934
1	108320000	108610000	1	108320000	108610000	255,255,0	1.1762	0.04408	0.15435	0.93698	0.54935
1	227665000	227915000	1	227665000	227915000	255,255,0	0.9171	0.083161	0.11525	0.5776	0.6656
1	67395000	67985000	1	67395000	67985000	255,255,0	1.019	0.10738	0.090818	0.64981	0.72939
1	243510000	243925000	1	243510000	243925000	255,255,0	0.85092	0.13821	0.059901	0.68177	0.5
1	12325000	12740000	1	12325000	12740000	255,255,0	1.4383	0.064118	0.1339	0.8705	0.86295
1	11090000	11720000	1	11090000	11720000	255,255,0	0.9311	0.07044	0.12697	0.63391	0.61829
1	149860000	150040000	1	149860000	150040000	255,255,0	1.0754	0.16655	0.030565	0.86728	0.63272
1	113670000	114175000	1	113670000	114175000	255,255,0	1.244	0.086013	0.10979	0.79176	0.74078
1	217590000	217910000	1	217590000	217910000	255,255,0	0.76854	0.087327	0.10781	0.50195	0.55908
1	20195000	20840000	1	20195000	20840000	255,255,0	1.194	0.0884	0.10651	0.70649	0.71899
1	248400000	248545000	1	248400000	248545000	255,255,0	0.69891	0.084619	0.10885	0.51429	0.52857
1	152020000	152450000	1	152020000	152450000	255,255,0	1.113	0.092693	0.10052	0.78204	0.72472
1	247065000	247660000	1	247065000	247660000	255,255,0	0.74552	0.081451	0.11114	0.54746	0.52599
1	54515000	55340000	1	54515000	55340000	255,255,0	1.3216	0.080142	0.11228	0.7154	0.76124
1	181150000	182040000	1	181150000	182040000	255,255,0	0.99719	0.10372	0.088429	0.56028	0.68527
1	112350000	112885000	1	112350000	112885000	255,255,0	1.2614	0.10639	0.085401	0.79734	0.74249
1	228290000	228745000	1	228290000	228745000	255,255,0	1.4387	0.097833	0.093722	0.5657	0.92367
1	17250000	17380000	1	17250000	17380000	255,255,0	1.1996	0.16182	0.029624	0.69822	0.85207
1	78605000	79070000	1	78605000	79070000	255,255,0	1.4756	0.088287	0.10309	0.84505	0.59158
1	238015000	238415000	1	238015000	238415000	255,255,0	1.0945	0.10289	0.088027	0.76313	0.57688
1	31185000	31265000	1	31185000	31265000	255,255,0	1.1909	0.12347	0.067161	0.67188	0.64062
1	207235000	207695000	1	207235000	207695000	255,255,0	1.3594	0.073269	0.11642	0.86578	0.86248
1	235270000	235625000	1	235270000	235625000	255,255,0	1.7254	0.11668	0.072418	0.92619	0.86429
1	178490000	178995000	1	178490000	178995000	255,255,0	1.2973	0.10484	0.083242	0.72941	0.73765
1	229375000	229775000	1	229375000	229775000	255,255,0	1.1212	0.090232	0.096421	0.66563	0.60641
1	202130000	202975000	1	202130000	202975000	255,255,0	1.0687	0.10345	0.082838	0.64874	0.68137
1	222380000	222630000	1	222380000	222630000	255,255,0	0.8549	0.042876	0.14332	0.50422	0.59623
1	45285000	45770000	1	45285000	45770000	255,255,0	1.3681	0.10687	0.077688	0.63903	0.8176
1	241670000	242170000	1	241670000	242170000	255,255,0	1.0271	0.078951	0.10539	0.8028	0.522
1	11075000	11840000	1	11075000	11840000	255,255,0	1.1476	0.073782	0.1101	0.70079	0.74419
1	186370000	186975000	1	186370000	186975000	255,255,0	1.7608	0.10361	0.079564	0.86776	0.90847
1	184695000	185140000	1	184695000	185140000	255,255,0	1.163	0.087243	0.095044	0.79545	0.63283
1	165900000	166455000	1	165900000	166455000	255,255,0	1.3585	0.075119	0.10582	0.81885	0.74323
1	86830000	87145000	1	86830000	87145000	255,255,0	0.99309	0.080845	0.099864	0.67036	0.54335
1	176330000	176855000	1	176330000	176855000	255,255,0	1.0095	0.10201	0.077793	0.61938	0.64441
1	184765000	184950000	1	184765000	184950000	255,255,0	1.3608	0.07329	0.10633	0.84503	0.84503
1	184035000	184665000	1	184035000	184665000	255,255,0	1.3077	0.096916	0.081372	0.69287	0.81723
1	81935000	82305000	1	81935000	82305000	255,255,0	0.95566	0.091663	0.086291	0.5011	0.51424
1	25725000	25870000	1	25725000	25870000	255,255,0	0.98724	0.14657	0.031034	0.58514	0.69545
1	2520000	2585000	1	2520000	2585000	255,255,0	0.73729	0.014483	0.16294	0.5	0.5
1	37920000	38475000	1	37920000	38475000	255,255,0	0.98531	0.095569	0.081581	0.65292	0.64448
1	232740000	233400000	1	232740000	233400000	255,255,0	1.2294	0.085487	0.091556	0.56635	0.84389
1	244675000	244965000	1	244675000	244965000	255,255,0	0.64991	0.096059	0.080874	0.50178	0.51605
1	67440000	67630000	1	67440000	67630000	255,255,0	0.69353	0.10689	0.069075	0.63712	0.50139
1	71070000	71525000	1	71070000	71525000	255,255,0	1.1754	0.095296	0.079893	0.68647	0.77923
1	202130000	202715000	1	202130000	202715000	255,255,0	0.94515	0.094229	0.080841	0.61748	0.59702
1	198030000	198435000	1	198030000	198435000	255,255,0	0.96209	0.093751	0.080159	0.65427	0.5
1	78035000	78475000	1	78035000	78475000	255,255,0	1.4508	0.056434	0.11576	0.81973	0.61105
1	43660000	44535000	1	43660000	44535000	255,255,0	0.97814	0.087582	0.08429	0.51187	0.70016
1	81855000	82280000	1	81855000	82280000	255,255,0	1.2728	0.086994	0.084234	0.67054	0.6041
1	22425000	23290000	1	22425000	23290000	255,255,0	1.082	0.078768	0.09221	0.69647	0.67763
1	244740000	245240000	1	244740000	245240000	255,255,0	1.1588	0.094151	0.076667	0.6108	0.8588
1	24975000	25560000	1	24975000	25560000	255,255,0	1.2444	0.079751	0.089585	0.70047	0.80041
1	212635000	213250000	1	212635000	213250000	255,255,0	1.2557	0.068915	0.10004	0.60524	0.84955
1	88625000	89060000	1	88625000	89060000	255,255,0	1.0307	0.073789	0.094505	0.52061	0.72674
1	46055000	46710000	1	46055000	46710000	255,255,0	1.6265	0.075325	0.091845	0.78648	0.82611
1	24380000	24965000	1	24380000	24965000	255,255,0	1.6434	0.11556	0.049626	0.90503	0.87463
1	228365000	228745000	1	228365000	228745000	255,255,0	1.421	0.068926	0.096092	0.5651	0.92452
1	230755000	231370000	1	230755000	231370000	255,255,0	1.1526	0.080207	0.084616	0.62903	0.74008
1	90565000	91065000	1	90565000	91065000	255,255,0	1.3199	0.094981	0.069756	0.8512	0.5924
1	27315000	28055000	1	27315000	28055000	255,255,0	0.96189	0.089079	0.075471	0.67622	0.53817
1	225165000	225480000	1	225165000	225480000	255,255,0	0.76604	0.079205	0.084303	0.50302	0.50907
1	64745000	65130000	1	64745000	65130000	255,255,0	0.6813	0.088648	0.074009	0.60661	0.43657
1	205785000	205925000	1	205785000	205925000	255,255,0	1.0001	0.017332	0.1453	0.65605	0.69973
1	84370000	84600000	1	84370000	84600000	255,255,0	1.3264	0.085383	0.076972	0.78261	0.5879
1	182855000	183425000	1	182855000	183425000	255,255,0	1.1773	0.085108	0.076526	0.78486	0.58418
1	154530000	155060000	1	154530000	155060000	255,255,0	1.4268	0.066554	0.094941	0.80812	0.76611
1	192440000	192585000	1	192440000	192585000	255,255,0	1.7983	0.091767	0.069531	0.87143	0.87143
1	56325000	57075000	1	56325000	57075000	255,255,0	1.2263	0.074317	0.086571	0.59378	0.86933
1	53710000	54245000	1	53710000	54245000	255,255,0	0.88462	0.086638	0.074065	0.5021	0.57547
1	203230000	203315000	1	203230000	203315000	255,255,0	1.2062	0.095776	0.064609	0.65278	0.68056
1	36960000	37910000	1	36960000	37910000	255,255,0	1.8249	0.07969	0.078941	0.94881	0.9231
1	149845000	150195000	1	149845000	150195000	255,255,0	1.561	0.10936	0.04922	0.93143	0.91918
1	214950000	215280000	1	214950000	215280000	255,255,0	0.72259	0.086799	0.071008	0.53811	0.4123
1	100215000	100925000	1	100215000	100925000	255,255,0	1.3192	0.082188	0.075084	0.91887	0.71097
1	64075000	64730000	1	64075000	64730000	255,255,0	1.33	0.074093	0.08251	0.87974	0.74316
1	39550000	40040000	1	39550000	40040000	255,255,0	1.1651	0.073159	0.083346	0.82965	0.68097
1	59770000	60225000	1	59770000	60225000	255,255,0	0.94081	0.052576	0.10387	0.40531	0.83333
1	228860000	229020000	1	228860000	229020000	255,255,0	0.86529	0.13842	0.0179	0.67578	0.51172
1	89945000	90480000	1	89945000	90480000	255,255,0	1.5466	0.074536	0.080221	0.71454	0.89133
